iter	Passed	Remaining
594	3162	2152
595	3167	2147
596	3172	2141
597	3178	2136
598	3183	2131
599	3188	2125
600	3194	2120
601	3199	2115
602	3204	2109
603	3210	2104
604	3215	2099
605	3220	2094
606	3226	2088
607	3231	2083
608	3236	2078
609	3242	2072
610	3247	2067
611	3252	2062
612	3258	2057
613	3263	2051
614	3269	2046
615	3274	2041
616	3280	2036
617	3285	2030
618	3291	2025
619	3296	2020
620	3301	2015
621	3307	2009
622	3312	2004
623	3318	1999
624	3323	1994
625	3328	1988
626	3334	1983
627	3339	1978
628	3345	1973
629	3350	1967
630	3356	1962
631	3361	1957
632	3366	1952
633	3372	1946
634	3377	1941
635	3382	1936
636	3388	1930
637	3393	1925
638	3398	1920
639	3404	1914
640	3409	1909
641	3415	1904
642	3420	1899
643	3425	1893
644	3431	1888
645	3436	1883
646	3442	1877
647	3447	1872
648	3452	1867
649	3458	1862
650	3463	1856
651	3469	1851
652	3474	1846
653	3479	1841
654	3485	1835
655	3490	1830
656	3495	1825
657	3501	1819
658	3506	1814
659	3511	1809
660	3517	1803
661	3522	1798
662	3527	1793
663	3533	1787
664	3538	1782
665	3544	1777
666	3549	1771
667	3554	1766
668	3559	1761
669	3565	1756
670	3570	1750
671	3575	1745
672	3581	1740
673	3586	1734
674	3592	1729
675	3597	1724
676	3602	1718
677	3608	1713
678	3613	1708
679	3618	1702
680	3624	1697
681	3629	1692
682	3635	1687
683	3640	1682
684	3646	1676
685	3651	1671
686	3656	1666
687	3662	1660
688	3667	1655
689	3673	1650
690	3678	1644
691	3683	1639
692	3689	1634
693	3694	1629
694	3699	1623
695	3705	1618
696	3710	1613
697	3715	1607
698	3721	1602
699	3726	1597
700	3732	1591
701	3737	1586
702	3743	1581
703	3748	1576
704	3753	1570
705	3759	1565
706	3764	1560
707	3770	1554
708	3775	1549
709	3780	1544
710	3786	1539
711	3791	1533
712	3796	1528
713	3802	1523
714	3807	1517
715	3812	1512
716	3818	1507
717	3823	1501
718	3828	1496
719	3834	1491
720	3839	1485
721	3844	1480
722	3850	1475
723	3855	1469
724	3860	1464
725	3866	1459
726	3871	1453
727	3877	1448
728	3882	1443
729	3887	1437
730	3893	1432
731	3898	1427
732	3903	1421
733	3909	1416
734	3914	1411
735	3919	1405
736	3925	1400
737	3930	1395
738	3935	1390
739	3941	1384
740	3946	1379
741	3951	1374
742	3957	1368
743	3962	1363
744	3968	1358
745	3973	1352
746	3978	1347
747	3984	1342
748	3989	1336
749	3994	1331
750	3999	1326
751	4005	1320
752	4010	1315
753	4016	1310
754	4021	1305
755	4026	1299
756	4032	1294
757	4037	1289
758	4043	1283
759	4048	1278
760	4053	1273
761	4059	1267
762	4064	1262
763	4069	1257
764	4075	1251
765	4080	1246
766	4085	1241
767	4091	1235
768	4097	1230
769	4102	1225
770	4107	1220
771	4112	1214
